user,item,error
0,0,0.0991409420967102
1,0,0.008864144794642925
2,0,0.29198476672172546
3,0,0.18053235113620758
4,0,0.30763062834739685
5,0,0.0020271101966500282
6,0,0.20632126927375793
7,0,0.0006087326910346746
8,0,0.6934047937393188
9,0,0.13844908773899078
10,0,0.3689393103122711
11,0,1.1681504249572754
12,0,0.04714903607964516
13,0,0.003868314903229475
14,0,0.0001774850970832631
15,0,1.1938025951385498
16,0,0.07251118123531342
17,0,0.13793078064918518
18,0,0.03025253303349018
19,0,0.05612470209598541
20,0,0.01520643662661314
21,0,0.002106885425746441
22,0,0.0028106148820370436
23,1,0.2576996982097626
24,1,0.035435035824775696
25,1,0.12077586352825165
26,1,0.052137263119220734
27,1,0.08770353347063065
28,1,1.6694200038909912
29,1,0.7233406901359558
30,1,1.6865501403808594
31,1,0.9125754833221436
32,1,0.1843646764755249
33,1,1.1234604120254517
34,1,0.31163290143013
35,1,0.06677275896072388
36,1,0.1750815510749817
37,1,0.43728578090667725
38,2,0.08949299901723862
39,2,0.22782136499881744
40,2,0.5604262351989746
41,2,0.05120769888162613
42,2,2.222029447555542
43,2,0.00455098832026124
44,2,0.00011962265125475824
45,2,0.3087710440158844
46,2,0.0703946053981781
47,2,0.0024236496537923813
48,2,0.03448756784200668
49,2,0.06374087184667587
50,2,2.3060147762298584
51,2,0.0014531549531966448
52,2,0.0020447529386729
53,2,0.07347843050956726
12,2,0.22679515182971954
54,2,0.03640817105770111
13,2,0.0022716454695910215
55,2,0.0011221033055335283
56,2,0.0025276083033531904
57,2,0.008870521560311317
58,2,0.4145905375480652
59,2,0.5143147110939026
60,2,0.9759111404418945
61,2,0.014690847136080265
62,2,0.33792051672935486
63,2,0.0023137929383665323
64,2,0.00461185909807682
65,2,0.1345176249742508
66,2,0.0011436091735959053
67,2,0.4083099663257599
68,2,0.16254575550556183
69,2,0.0031341570429503918
70,2,0.018111171200871468
71,2,0.015225258655846119
72,2,0.008435335010290146
73,2,0.08625786006450653
74,2,0.5303939580917358
75,2,0.028226317837834358
76,2,0.1393750160932541
77,2,0.19739797711372375
78,2,0.07629424333572388
79,2,0.04857777804136276
80,2,0.46663177013397217
81,2,0.005722161382436752
82,2,0.10231620073318481
83,3,0.9120412468910217
84,3,5.37804651260376
85,3,0.37395066022872925
86,3,4.91064420202747e-05
87,3,0.010728618130087852
88,3,0.04329383745789528
89,3,0.14495980739593506
90,3,0.006509245373308659
91,3,0.05173128470778465
92,3,8.611930847167969
93,3,12.06185531616211
94,3,0.053425099700689316
95,3,0.07990773022174835
96,3,0.10423288494348526
97,3,0.28817614912986755
98,3,0.015314586460590363
99,3,0.5120601654052734
100,3,0.1347055286169052
101,3,0.04522724822163582
2,3,2.425060272216797
102,3,0.029534295201301575
103,3,0.028151221573352814
104,3,0.21306823194026947
105,3,0.018807323649525642
106,3,0.00025243533309549093
107,3,0.0011309057008475065
108,3,0.8927207589149475
109,3,0.03459790349006653
110,3,0.01839747279882431
111,3,0.2839507460594177
112,3,0.2548021674156189
113,3,0.7762022614479065
114,3,0.09511300921440125
115,3,0.759421706199646
116,3,0.07484762370586395
117,3,0.08988028019666672
118,3,1.0115363597869873
119,3,0.5889368057250977
120,3,0.016177931800484657
121,3,1.194999098777771
122,3,0.04052270948886871
123,3,0.2920229136943817
124,3,0.06458248198032379
125,3,0.000395852024666965
126,3,6.416630640160292e-05
127,3,0.16455551981925964
128,3,0.02064616233110428
129,3,1.5879395008087158
130,3,0.3505944311618805
131,3,0.00032222169102169573
132,3,5.060894966125488
133,3,3.448087215423584
134,3,0.17956197261810303
135,3,0.009631600230932236
136,3,1.178469181060791
137,3,0.22625863552093506
138,3,0.6406794786453247
139,3,3.111212968826294
140,3,0.02799239568412304
141,3,0.04500725865364075
142,3,0.01848670467734337
143,3,0.02115892618894577
144,3,0.05801399052143097
145,3,0.07385116070508957
146,3,0.3072076141834259
147,3,0.1552743762731552
148,3,0.07995788007974625
149,3,0.2964193522930145
150,3,0.0025434554554522038
151,3,0.15368732810020447
152,3,0.001700283377431333
153,3,0.5916962623596191
154,3,0.001607138430699706
155,3,0.2991306781768799
156,3,0.0003180071944370866
157,3,0.22549627721309662
158,3,0.0960712879896164
159,3,0.014148055575788021
160,3,2.8385305404663086
161,3,0.00019231739861425012
162,3,0.1159791350364685
54,3,0.09543533623218536
163,3,5.269312858581543
164,3,0.02372269704937935
13,3,0.0018115651328116655
165,3,0.20850680768489838
166,3,0.0009748347220011055
167,3,1.437857985496521
168,3,0.9213364124298096
169,3,0.00035370077239349484
170,3,0.20502419769763947
171,3,0.6194751262664795
172,3,0.30339306592941284
173,3,4.253259612596594e-05
174,3,0.000973465503193438
175,3,2.5969223976135254
176,3,2.9976353645324707
177,3,8.4911152953282e-06
178,3,0.13146930932998657
179,3,0.0672440305352211
180,3,0.7177428603172302
181,3,1.4958889484405518
182,3,0.20015959441661835
183,3,0.4429393410682678
184,3,0.08550215512514114
185,3,0.051950160413980484
186,3,0.08615285158157349
187,3,0.00022756386897526681
188,3,0.2648836374282837
189,3,0.0030727421399205923
190,3,0.4810514450073242
191,3,0.02529037743806839
192,3,0.7578708529472351
193,3,0.00028793769888579845
194,3,2.432762384414673
195,3,0.09194484353065491
196,3,0.016718396916985512
197,3,0.09684819728136063
198,3,0.04059742018580437
199,3,0.05210503935813904
200,3,0.12503601610660553
201,3,0.04200894013047218
202,3,0.2949989140033722
203,3,0.00810887012630701
204,3,0.15301287174224854
205,3,0.007194963749498129
206,3,0.046070389449596405
207,3,0.7777557373046875
78,3,0.0062097725458443165
208,3,0.1313234269618988
81,3,0.5280753374099731
209,3,0.002308291383087635
210,3,0.06105104461312294
211,3,1.0934497117996216
82,3,0.015552128665149212
212,4,0.24908435344696045
213,4,0.0332208052277565
112,4,0.23799501359462738
214,4,0.09637214243412018
215,4,0.09387266635894775
216,4,0.3109443783760071
130,4,2.2755019664764404
217,4,0.3826068341732025
218,4,0.10423026978969574
219,4,0.03610944375395775
54,4,0.19290286302566528
220,4,0.09955666214227676
221,4,0.06547915190458298
222,4,0.013838388957083225
223,4,0.0017718038288876414
224,4,0.29661306738853455
225,4,0.08754177391529083
226,4,0.007522920612245798
227,4,0.08291714638471603
228,4,0.04353686049580574
229,5,0.8101718425750732
230,5,0.01853315532207489
231,5,0.027207523584365845
232,5,0.3031315505504608
233,5,0.07725079357624054
234,6,0.018865831196308136
235,6,0.13763980567455292
236,6,0.007974177598953247
237,6,0.5155321359634399
238,6,0.10600070655345917
239,6,0.005336027126759291
234,7,0.10338451713323593
235,7,0.41895315051078796
236,7,0.026779305189847946
237,7,0.2761079668998718
238,7,0.08753246814012527
239,7,0.037701062858104706
234,8,0.03601056709885597
131,8,1.0412240028381348
240,8,0.4174150824546814
236,8,0.01755945384502411
237,8,0.01635490544140339
238,8,0.0013434105785563588
239,8,0.0016285426681861281
241,8,0.1067635640501976
242,8,0.019688716158270836
243,8,0.01799047365784645
244,9,0.011394444853067398
245,9,0.00028132504667155445
246,9,1.5438126865774393e-05
113,9,0.721042275428772
247,9,0.0001614980137674138
131,9,0.021455297246575356
248,9,0.01976989209651947
249,9,0.0987929180264473
