dataset,seed,bin0,bin1,bin2,bin3
instant_video,1,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,777,-0.020973056628890437,0.06920014028254978,0.06311975679172893,-0.06266576495495656
instant_video,1234,0.006956162270459986,0.04163189740128252,0.029018709267546346,-0.03729446534696198
instant_video,1476,-0.011419619107900868,0.03632139898600049,0.07486638093747323,-0.04303387456626614
instant_video,1573,-0.0007770065698322719,0.026215267661368818,0.022762712565233774,-0.020782459868470778
instant_video,1771,-0.007793309600340818,0.004969470255087218,-0.0063286279463926065,-0.0416449102612106
instant_video,1842,0.005502076315501921,0.03073990492531338,0.023959234751464952,-0.033879991351894886
instant_video,1992,0.0007005337314180432,0.00857552985375255,0.005636535312566585,-0.01000197649563582
instant_video,2003,0.0,0.0,0.0,0.0
instant_video,2020,-0.0008621023003076303,0.02397926061181603,0.01817374982400214,-0.019807100005219683
digital_music,1,0.0,0.0,0.0,0.0
digital_music,777,0.0,0.0,0.0,0.0
digital_music,1234,-0.004419081362821776,0.03768597000672665,0.0480304888692056,-0.046404412295859204
digital_music,1476,-0.008800016905748958,0.0030756828862034645,0.0012374051393606927,-0.01848489123235758
digital_music,1573,0.00706395588801711,0.018211370370841824,0.004269355687972054,-0.01725466906437059
digital_music,1771,0.027446657718315448,0.0462294902176444,0.0053268053254946325,-0.03159095247114575
digital_music,1842,0.00245969785788905,0.017716928917726662,0.010602863156654232,-0.013271663427840471
digital_music,1992,-0.0009580124535394276,0.008224839661034065,0.00771728842000164,-0.0042155996626955065
digital_music,2003,0.01021748744432313,0.039139330340949324,0.022594309740665616,-0.0233449972041921
digital_music,2020,0.003072080864539568,0.013947388891519518,0.0058118827534390065,-0.013364097391221122
beer,1,0.04582253318943622,0.03137058336169911,0.010449190437972785,-0.020239921015277756
beer,777,0.036983940969441284,-0.0004254782994562046,-0.0062950030700799214,0.009215277672225774
beer,1234,0.0,0.0,0.0,0.0
beer,1476,-0.011331464431674487,0.005490667298457158,0.0147106963303264,-0.015818813823480958
beer,1573,0.0,0.0,0.0,0.0
beer,1771,0.0004846347108604862,0.003010543632523916,0.0021746995599358047,0.006634184404888612
beer,1842,0.014513473143332609,0.014735271579355102,0.013991957944190163,-0.013658985030971474
beer,1992,0.005295112194364057,0.023810511768605894,0.005308436564656894,-0.031163417814142575
beer,2003,0.03500487063673492,0.01869572847145089,0.004680044496950301,-0.03335041444036553
beer,2020,-0.007654299422083885,0.020571893437696557,0.018092670827180406,-0.016329727680713092
