dataset,weight,seed,bin0,bin1,bin2,bin3
instant_video,0.0,1,0.0,0.0,0.0,0.0
instant_video,0.1,1,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,777,0.0,0.0,0.0,0.0
instant_video,0.1,777,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,777,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,777,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,777,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,777,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,777,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,777,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1234,0.0,0.0,0.0,0.0
instant_video,0.1,1234,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1234,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1234,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1234,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1234,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1234,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1234,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1476,0.0,0.0,0.0,0.0
instant_video,0.1,1476,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1476,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1476,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1476,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1476,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1476,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1476,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1573,0.0,0.0,0.0,0.0
instant_video,0.1,1573,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1573,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1573,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1573,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1573,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1573,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1573,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1771,0.0,0.0,0.0,0.0
instant_video,0.1,1771,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1771,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1771,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1771,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1771,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1771,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1771,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1842,0.0,0.0,0.0,0.0
instant_video,0.1,1842,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1842,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1842,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1842,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1842,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1842,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1842,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,1992,0.0,0.0,0.0,0.0
instant_video,0.1,1992,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,1992,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,1992,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,1992,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,1992,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,1992,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,1992,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,2003,0.0,0.0,0.0,0.0
instant_video,0.1,2003,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,2003,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,2003,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,2003,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,2003,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,2003,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,2003,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
instant_video,0.0,2020,0.0,0.0,0.0,0.0
instant_video,0.1,2020,-0.009602157062080377,-0.06410986679360765,-0.05161080418546448,0.03056817482727677
instant_video,0.2,2020,0.004995324972611855,-0.011670547982998547,-0.014359363597872842,0.005171134227436605
instant_video,0.5,2020,0.0013831002281103084,-0.04901048361605397,-0.04804394396951484,0.023662851591374448
instant_video,1.0,2020,-0.0018086276306751616,-0.058471787208175696,-0.05199589790488186,0.019954525722219608
instant_video,2.0,2020,-0.0070479568273939894,0.01482127245894789,0.03540945417756136,-0.038563465853015004
instant_video,5.0,2020,-0.03699287164812719,-0.09881665233285425,-0.07905140166397373,0.015654366273714224
instant_video,10.0,2020,-0.05657297711956033,-0.11548160424091296,-0.08197205789031559,0.03378846871294003
digital_music,0.0,1,0.0,0.0,0.0,0.0
digital_music,0.1,1,-0.001991659678176402,-0.01670203740904303,-0.0074518413532857555,0.01888206441293309
digital_music,0.2,1,-0.004969191134980892,-0.03173212601097099,-0.014520833842895667,0.03211072121392279
